shortname RA_850 Dec_850 ID_850 RA_counterpart Dec_counterpart ID_counterpart RA_infrared Dec_infrared position_offset F24_uJy E24_uJy f100 e100 f160 e160 f250 e250 f350 e350 f500 e500  f850 e850 z_source         mu e_mu
COSLA_155R1K             09:59:39.06 +02:21:21.19 L 09:59:39.06 +02:21:26.42 R    09:59:39.06 +02:21:26.53 0.1     -99   -99      -99   -99    -99   -99   11.2   2.7   22.7   3.6    -99   -99  13.0   4.3 2.974     1.   0.
COSLA_163R1I             09:59:28.12 +02:07:48.45 L 09:59:28.63 +02:07:49.49 R    09:59:28.57 +02:07:48.07 1.7   184.0   35.0     6.9   1.6    -99   -99   22.4   2.7   23.6   5.1   33.5   5.0  13.3   4.4 1.178     1.   0.
COSLA_012R1I             10:00:30.16 +02:41:37.61 L 10:00:30.25 +02:41:46.35 R    10:00:30.33 +02:41:46.46 1.2  1095.0   163.0   17.6   1.8   40.4   3.4   65.2   2.7   72.0   3.8   39.8   6.0  23.4   5.6 1.260     1.   0.
AzTECJ100008+022612      10:00:07.95 +02:26:08.16 A 10:00:08.05 +02:26:12.20 S    10:00:08.10 +02:26:11.57 1.0   287.0   15.0    -99    -99   11.8   3.5   21.3   2.7   37.0   4.5    -99   -99  18.6   3.9 1.120    1.   0.
A1835_SMMJ14011+0252     14:01:04.96 +02:52:23.50 S 14:01:04.97 +02:52:24.60 noid 14:01:04.97 +02:52:24.54 0.1   883.4   14.5    11.6   0.8   33.5   1.4   61.7   6.0   63.1   3.8   48.5   4.0  14.6   1.8 2.565     1.   0.
A1835_SMMJ14009+0252     14:00:57.55 +02:52:48.60 S 14:00:57.57 +02:52:49.10 noid 14:00:57.58 +02:52:48.95 0.2   297.7   13.7     4.9   0.7   27.7   1.9   66.4   6.0   65.8   3.8   53.7   4.2  15.6   1.9 2.934     1.   0.
A2219_SMMJ16403+4644     16:40:19.40 +46:44:01.00 S 16:40:19.50 +46:44:00.50 noid 16:40:19.46 +46:44:00.81 0.5   729.7   7.6     17.1   0.9   35.6   1.9   50.5   5.8   44.9   3.6   34.7   6.5  10.0   2.0 2.030     1.   0.
#MS1054_SMMJ10570-0334    10:57:02.20 -03:36:04.00 S nora        nodec        noid 10:57:02.50 -03:36:02.52 4.7   253.1   12.0     -99   -99   10.6   2.1   15.2   1.2   17.0   1.1    -99   -99   4.4   1.4 2.423   1.10 0.11
#CL0024_SMMJ00266+1708    00:26:34.10 +17:08:32.00 S 00:26:34.06 +17:08:33.10 noid 00:26:34.09 +17:08:34.16 1.1   283.4   15.4     4.7   0.7   24.5   2.2   52.8   7.2   61.3   4.5   44.6   4.7  18.6   1.5 2.730   2.40 0.24 
#MS0451_SMMJ04542-0301    04:54:12.50 -03:01:04.00 S nora        nodec        noid 04:54:12.73 -03:01:09.25 99.   169.9   10.5    14.6   1.2   40.6   7.7   76.0  15.1   94.4   8.8   84.1  11.5  13.8   2.0 2.911   50.00 5.0
A2390_SMMJ21536+1742     21:53:38.20 +17:42:16.00 S 21:53:38.35 +17:42:20.70 noid 21:53:38.51 +17:42:17.73 3.8   382.7    8.0     3.8   0.9   11.9   2.1   52.4  12.7   54.8   7.1   47.5   7.2   6.7   2.2 1.020    1.90 0.19
A2218_SMMJ16354+6611     16:35:41.20 +66:11:44.00 S 16:35:41.20 +66:11:44.00 noid 16:35:40.73 +66:11:42.96 3.1   411.8   156.3    1.0   0.7   13.6   1.2   20.5   6.0   25.7   3.0   17.4   3.3  10.4   1.4 3.188    1.70 0.17
A2218_SMMJ16355+66120C   16:35:50.96 +66:12:05.50 S 16:35:50.96 +66:12:05.50 noid 16:35:50.75 +66:12:06.31 1.5   280.2   26.2     4.9   0.7   18.5   1.6   37.8   6.0   35.9   3.1    -99   -99   8.7   1.1 2.516    9.00 0.9
A2218_SMMJ16355+66122B   16:35:54.10 +66:12:23.80 S 16:35:54.10 +66:12:23.80 noid 16:35:53.91 +66:12:22.43 1.8  2709.2   129.0    9.4   0.9   28.1   1.9   78.1   6.0   70.2   7.2   74.7   3.5  16.1   1.6 2.516    22.00 2.2
A2218_SMMJ16355+66123A   16:35:55.18 +66:12:37.20 S 16:35:55.18 +66:12:37.20 noid 16:35:54.96 +66:12:37.04 1.4  2955.0   123.4    5.9   1.1   21.3   2.0   53.7   6.0   47.1   3.1   26.9   3.5  12.8   1.5 2.516    14.00 1.4
A2218_SMMJ16355+6611     16:35:55.20 +66:11:50.00 S 16:35:55.20 +66:11:50.00 noid 16:35:55.00 +66:11:50.62 1.4  4724.5   182.7   26.4   0.8   51.0   1.5   42.1   6.0   37.2   3.0   14.9   3.3   3.1   0.7 1.034    7.60 0.76
A370_SMMJ02399-0136      02:39:51.90 -01:35:59.00 S 02:39:51.88 -01:35:58.00 noid 02:39:51.86 -01:35:58.45 0.5  1231.0   11.6    13.0   0.8   30.1   1.8   65.7   6.1   72.0   3.9   62.8   4.6  23.0   2.0 2.810    2.50 0.25
A370_SMMJ02399-0134      02:39:56.40 -01:34:27.00 S 02:39:56.51 -01:34:27.10 noid 02:39:56.58 -01:34:26.10 1.4  2402.0   10.9    45.8   0.8  111.1   1.9  125.8   6.1   89.8   3.9   41.7   4.4  11.0   2.0 1.060    2.50 0.25
A1689_SMMJ13115-1208     13:11:29.10 -01:20:49.00 S 13:11:29.14 -01:20:46.50 noid 13:11:29.14 -01:20:46.47 0.1   329.8   12.8     3.3   0.4    7.6   0.8    -99   -99   16.1   4.1   17.3   4.4   4.7   0.8 2.630    21.60 2.16
