 ALMAX  ALMAY S850  SourceS500 z  TargetID  HerschelX HerschelY S500 TargetFlag 
 0.5610651  2.3465865  13.75  66.91 0.373031 00128   0.5611111  2.3466667  62.94 1
-1.4243765 -0.9328485  14.06  65.02 0.553039 00025  -1.4244444 -0.9333333  63.21 1
-1.1353568  0.2095090  17.11  67.35 0.922000 00066  -1.1355556  0.2088889  63.44 1
 2.1184888 -0.8181335  11.65  69.62 0.066834 00027   2.1177778 -0.8188889  64.33 1
-1.1694539 -1.1519963  13.98  67.48 0.403701 00017  -1.1700000 -1.1522222  65.37 1
-1.1713313 -1.1513135   1.57   4.82 1.879689 00017  -1.1700000 -1.1522222  65.37 0
-0.6244810 -1.1212212  13.84  68.45 0.275261 00019  -0.6244444 -1.1211111  65.70 1
 1.9744488  1.4414642  12.62  62.68 0.185255 00107   1.9744444  1.4411111  66.00 1
-1.7802315  0.9032665  13.77  68.71 0.132423 00092  -1.7800000  0.9033333  66.47 1
 0.0394670 -2.4170592  13.29  67.89 0.309368 00001   0.0400000 -2.4177778  66.81 1
-0.6005830  0.1208842   1.88   4.21 3.362103 00064  -0.6000000  0.1211111  66.91 1
-0.6001179  0.1211113  12.39  60.72 0.154654 00064  -0.6000000  0.1211111  66.91 0
-1.1859254 -0.4675209  15.52  74.34 0.420664 00043  -1.1855556 -0.4677778  67.90 1
-0.8158906  1.8173234  12.92  63.81 0.377705 00119  -0.8166667  1.8166667  68.36 1
 1.7357280  1.5654829  12.76  75.22 0.071031 00111   1.7355556  1.5655556  68.39 1
 1.3499695 -0.4021054   6.90  38.73 0.205962 00046   1.3511111 -0.4022222  68.58 1
 1.3528525 -0.4031616  10.06  39.86 1.298838 00046   1.3511111 -0.4022222  68.58 0
 1.0656672 -1.7498220  12.30  71.53 0.098671 00009   1.0655556 -1.7500000  68.60 1
-0.2651392 -2.2904916   8.01  46.49 0.181371 00002  -0.2644444 -2.2900000  69.33 1
-0.2633244 -2.2901354   2.61   7.13 1.996812 00002  -0.2644444 -2.2900000  69.33 0
-0.2668277 -0.3750544  18.56  69.23 1.222284 00048  -0.2666667 -0.3755556  69.59 1
-0.2653793 -0.3756384   1.83   4.60 2.759686 00048  -0.2666667 -0.3755556  69.59 0
-1.9018259 -0.0345183  16.06  71.51 0.554267 00061  -1.9022222 -0.0344444  70.01 1
-0.3961940 -1.9032903  11.79  71.67 0.094357 00006  -0.3966667 -1.9033333  70.56 1
-2.1039364 -0.9108818  15.12  77.43 0.211286 00026  -2.1044444 -0.9111111  71.33 1
 1.1346092  1.6544602  16.56  79.50 0.574831 00116   1.1344444  1.6544444  71.54 1
 1.8423679  1.6489989  17.86  79.40 0.487977 00115   1.8422222  1.6488889  72.49 1
-0.6572754  1.0443082   3.29  12.13 1.596187 00095  -0.6566667  1.0466667  74.03 1
-0.6561565  1.0471202  13.72  64.13 0.532295 00095  -0.6566667  1.0466667  74.03 0
-1.0596994 -0.4760596  18.18  80.54 0.841380 00041  -1.0600000 -0.4755556  74.69 1
 0.4310209  0.3814358  13.65  81.67 0.042628 00072   0.4311111  0.3811111  75.34 1
-1.3767956 -1.1585337  13.14  80.67 0.021751 00016  -1.3766667 -1.1588889  76.98 1
 1.8607183  0.3484785  15.23  77.40 0.270035 00071   1.8600000  0.3477778  78.27 1
 1.0295985  2.2455454  12.44  62.41 0.322703 00126   1.0288889  2.2455556  78.76 1
 1.0288897  2.2457073   4.45  16.84 1.563644 00126   1.0288889  2.2455556  78.76 0
-0.6372105 -0.6069817  14.28  84.37 0.049308 00032  -0.6377778 -0.6066667  79.38 1
 2.3285422 -0.6966906   1.56   2.12 4.433301 00030   2.3266667 -0.6966667  80.18 1
 2.3262041 -0.6962842  12.62  75.31 0.056199 00030   2.3266667 -0.6966667  80.18 0
-1.0961211  0.7996072  16.49  75.10 0.596593 00086  -1.0966667  0.8000000  80.45 1
-1.0991368  0.7997839   4.21   9.16 3.119359 00086  -1.0966667  0.8000000  80.45 0
 1.2429039 -1.1054605  13.66  81.68 0.071695 00022   1.2433333 -1.1055556  81.32 1
 1.4782137  0.1283140  13.37  83.20 0.025748 00065   1.4777778  0.1277778  82.35 1
 0.9247190  1.1623421  13.87  80.88 0.065243 00097   0.9244444  1.1622222  82.44 1
 0.9221195  1.1615057   2.25   6.28 2.388572 00097   0.9244444  1.1622222  82.44 0
-1.9110599  1.2197207   1.17   2.72 2.909605 00099  -1.9111111  1.2211111  89.11 1
-1.9106328  1.2220249  13.67  78.46 0.100550 00099  -1.9111111  1.2211111  89.11 0
-1.5689757  0.2305593  15.55  94.85 0.062465 00067  -1.5688889  0.2300000  91.04 1
 1.3642776 -1.6574523  16.32  97.51 0.070996 00011   1.3644444 -1.6577778  93.80 1
 0.0002996 -0.5022823  18.23  93.28 0.130551 00040   0.0000000 -0.5022222  95.44 1
-0.6191323  1.8176590  14.80  92.03 0.042371 00120  -0.6200000  1.8177778  97.61 1
 1.6966467  1.5228523  19.83  99.53 0.070616 00108   1.6966667  1.5222222  98.28 1
 1.9555237 -1.4630460  21.07 102.35 0.254533 00015   1.9555556 -1.4633333  98.51 1
 0.2040095  0.5341611  19.48  96.23 0.230353 00078   0.2033333  0.5344444  98.61 1
 0.9868589  0.7787915  21.88 107.53 0.244218 00084   0.9866667  0.7788889 100.61 1
 0.3622406  1.8843386  18.28 110.85 0.038004 00122   0.3622222  1.8844444 105.19 1
-0.5278617  0.8958055  22.14 108.57 0.264080 00091  -0.5277778  0.8955556 106.13 1
 0.9404367  1.2243186  17.48  99.50 0.026967 00100   0.9400000  1.2244444 108.82 1
 0.9384429  1.2263190   1.97   3.42 4.909098 00100   0.9400000  1.2244444 108.82 0
 1.8896410 -0.5427660  19.84 116.04 0.056713 00036   1.8888889 -0.5433333 109.32 1
 0.9530865 -1.9117107  25.38 120.69 0.210914 00005   0.9533333 -1.9122222 114.32 1
