GalaxyX   GalaxyY   GalaxyS850   GalaxyS500  GalaxyS350   GalaxyS250     z   SurveyID  SourceX  SourceY  SourceS500  SourceS350  SourceS250  SourceFlag 
-1.4302479 -0.2396992  12.23  48.72   99.60  151.31 0.920891 Survey000048 -1.4300000 -0.2400000  58.17  111.21  157.02 1
-1.4295884 -0.2383719   1.96   5.29    7.70    7.39 3.316839 Survey000048 -1.4300000 -0.2400000  58.17  111.21  157.02 0
-1.4324132 -0.2403976   2.66   5.82    6.67    4.67 3.283377 Survey000048 -1.4300000 -0.2400000  58.17  111.21  157.02 0
-1.8989125 -0.1543676  13.83  57.23  121.99  196.00 1.053450 Survey000049 -1.8988889 -0.1544444  58.23  124.51  200.51 1
-0.6391941  0.6720416  10.20  61.50  178.76  414.44 0.131299 Survey000050 -0.6388889  0.6722222  58.57  174.02  400.29 1
 0.3500877 -0.0614137   1.15   2.96    3.72    3.25 2.161654 Survey000051  0.3500000 -0.0611111  58.67  124.32  194.15 1
 0.3503021 -0.0606914  14.73  59.66  124.13  192.79 1.006963 Survey000051  0.3500000 -0.0611111  58.67  124.32  194.15 0
-0.0462988 -0.7618332  13.06  60.62  147.89  290.16 0.289286 Survey000052 -0.0466667 -0.7622222  60.78  148.38  289.65 1
 0.4819736  0.2854511  10.78  64.60  186.65  429.77 0.059460 Survey000053  0.4822222  0.2855556  60.79  182.12  420.30 1
-1.8527131  0.7392868  13.54  63.82  158.14  316.17 0.361360 Survey000054 -1.8533333  0.7388889  61.33  154.69  308.60 1
 0.0987838  0.8435171  12.29  53.58  121.26  212.02 0.902774 Survey000055  0.0988889  0.8433333  61.42  132.22  223.63 1
 0.0976981  0.8427368   3.19   6.42    6.75    4.20 3.312172 Survey000055  0.0988889  0.8433333  61.42  132.22  223.63 0
-1.2655334 -1.1105918  14.61  64.44  148.39  268.10 0.448523 Survey000056 -1.2655556 -1.1111111  61.53  142.66  263.49 1
-1.3450137 -0.9356978  13.40  61.93  150.02  290.29 0.529409 Survey000057 -1.3455556 -0.9355556  61.77  148.11  284.36 1
 0.5610653  2.3465877  13.75  66.91  171.99  362.69 0.373031 Survey000058  0.5611111  2.3466667  62.94  168.76  361.74 1
-1.4243768 -0.9328460  14.06  65.02  157.72  305.75 0.553039 Survey000059 -1.4244444 -0.9333333  63.21  157.38  305.53 1
-1.1353555  0.2095090  17.11  67.35  135.71  201.57 0.922000 Survey000060 -1.1355556  0.2088889  63.44  131.19  195.89 1
 2.1184897 -0.8181312  11.65  69.62  200.89  462.91 0.066834 Survey000061  2.1177778 -0.8188889  64.33  193.06  444.76 1
-0.2651371 -2.2904866   8.01  46.49  129.87  285.85 0.181371 Survey000062 -0.2655556 -2.2911111  65.07  145.63  289.72 1
-0.2633233 -2.2901313   2.61   7.13    9.59    9.02 1.996812 Survey000062 -0.2655556 -2.2911111  65.07  145.63  289.72 0
-1.1694530 -1.1519922  13.98  67.48  171.88  357.75 0.403701 Survey000063 -1.1700000 -1.1522222  65.37  174.65  363.23 1
-1.1713313 -1.1513139   1.57   4.82    6.70    5.66 1.879689 Survey000063 -1.1700000 -1.1522222  65.37  174.65  363.23 0
-0.6244795 -1.1212199  13.84  68.45  179.21  388.05 0.275261 Survey000064 -0.6244444 -1.1211111  65.70  176.04  385.94 1
 1.3499699 -0.4021007   6.90  38.73  103.94  215.42 0.205962 Survey000065  1.3500000 -0.4022222  65.97  150.37  262.58 1
 1.9744492  1.4414707  12.62  62.68  165.02  360.47 0.185255 Survey000066  1.9744444  1.4411111  66.00  167.76  360.98 1
 0.0394691 -2.4170578  13.29  67.89  184.47  421.70 0.309368 Survey000067  0.0388889 -2.4177778  66.02  180.14  407.26 1
-1.7802309  0.9032696  13.77  68.71  181.86  400.58 0.132423 Survey000068 -1.7800000  0.9033333  66.47  177.18  390.80 1
-0.6005829  0.1208862   1.88   4.21    4.99    3.58 3.362103 Survey000069 -0.6000000  0.1211111  66.91  160.39  329.62 1
-0.6001174  0.1211140  12.39  60.72  157.20  334.53 0.154654 Survey000069 -0.6000000  0.1211111  66.91  160.39  329.62 0
-1.1859244 -0.4675178  15.52  74.34  187.54  384.46 0.420664 Survey000070 -1.1866667 -0.4677778  67.41  180.33  375.99 1
-0.8158897  1.8173267  12.92  63.81  166.80  360.34 0.377705 Survey000071 -0.8166667  1.8166667  68.36  172.48  355.11 1
 1.7357290  1.5654873  12.76  75.22  213.88  483.39 0.071031 Survey000072  1.7355556  1.5655556  68.39  207.61  481.33 1
 1.0656670 -1.7498194  12.30  71.53  198.96  429.72 0.098671 Survey000073  1.0655556 -1.7500000  68.60  197.12  432.09 1
-0.2668259 -0.3750521  18.56  69.23  131.09  178.29 1.222284 Survey000074 -0.2666667 -0.3755556  69.59  132.28  176.34 1
-0.2653786 -0.3756348   1.83   4.60    5.80    5.06 2.759686 Survey000074 -0.2666667 -0.3755556  69.59  132.28  176.34 0
-1.9018244 -0.0345185  16.06  71.51  166.14  303.04 0.554267 Survey000075 -1.9022222 -0.0344444  70.01  162.80  299.62 1
-0.3961926 -1.9032851  11.79  71.67  210.81  498.83 0.094357 Survey000076 -0.3966667 -1.9033333  70.56  206.32  494.61 1
-2.1039350 -0.9108818  15.12  77.43  210.99  484.23 0.211286 Survey000077 -2.1044444 -0.9111111  71.33  205.24  482.40 1
 1.1346114  1.6544638  16.56  79.50  201.21  414.70 0.574831 Survey000078  1.1344444  1.6544444  71.54  195.26  412.66 1
 1.8423694  1.6489980  17.86  79.40  184.08  334.66 0.487977 Survey000079  1.8422222  1.6488889  72.49  178.94  333.04 1
-0.6572746  1.0443108   3.29  12.13   22.58   30.41 1.596187 Survey000080 -0.6566667  1.0466667  74.03  170.69  320.02 1
-0.6561558  1.0471178  13.72  64.13  157.34  310.05 0.532295 Survey000080 -0.6566667  1.0466667  74.03  170.69  320.02 0
-1.0596989 -0.4760563  18.18  80.54  185.77  334.52 0.841380 Survey000081 -1.0600000 -0.4766667  74.64  179.75  327.08 1
 0.4310206  0.3814359  13.65  81.67  236.89  553.34 0.042628 Survey000082  0.4311111  0.3811111  75.34  232.62  552.67 1
-1.3767954 -1.1585311  13.14  80.67  238.73  564.60 0.021751 Survey000083 -1.3766667 -1.1588889  76.98  235.21  554.28 1
 1.8607196  0.3484791  15.23  77.40  209.10  473.96 0.270035 Survey000084  1.8600000  0.3477778  78.27  203.38  455.61 1
 1.0295988  2.2455487  12.44  62.41  166.16  368.63 0.322703 Survey000085  1.0288889  2.2455556  78.76  195.90  406.13 1
 1.0288904  2.2457070   4.45  16.84   32.41   45.63 1.563644 Survey000085  1.0288889  2.2455556  78.76  195.90  406.13 0
-0.6372097 -0.6069785  14.28  84.37  238.92  529.84 0.049308 Survey000086 -0.6377778 -0.6066667  79.38  229.97  508.76 1
 2.3262050 -0.6962804  12.62  75.31  217.33  501.77 0.056199 Survey000087  2.3255556 -0.6966667  79.99  220.88  497.21 1
-1.0961202  0.7996077  16.49  75.10  178.97  338.10 0.596593 Survey000088 -1.0966667  0.7988889  80.03  184.13  335.27 1
 1.2429055 -1.1054596  13.66  81.68  235.73  542.07 0.071695 Survey000089  1.2422222 -1.1055556  81.06  229.69  529.38 1
 1.4782135  0.1283183  13.37  83.20  253.11  635.12 0.025748 Survey000090  1.4777778  0.1277778  82.35  250.88  631.97 1
 0.9247209  1.1623443  13.87  80.88  227.15  503.83 0.065243 Survey000091  0.9244444  1.1622222  82.44  231.86  512.49 1
 0.9221197  1.1615068   2.25   6.28    8.55    8.57 2.388572 Survey000091  0.9244444  1.1622222  82.44  231.86  512.49 0
-1.9106312  1.2220297  13.67  78.46  216.55  469.29 0.100550 Survey000092 -1.9111111  1.2222222  87.07  217.93  460.04 1
-1.5689740  0.2305599  15.55  94.85  280.52  670.75 0.062465 Survey000093 -1.5688889  0.2300000  91.04  278.87  661.61 1
 1.3642796 -1.6574488  16.32  97.51  281.21  646.49 0.070996 Survey000094  1.3644444 -1.6577778  93.80  276.05  636.85 1
 0.0002993 -0.5022788  18.23  93.28  253.97  582.31 0.130551 Survey000095  0.0000000 -0.5022222  95.44  256.75  587.49 1
-0.6191324  1.8176615  14.80  92.03  278.11  685.70 0.042371 Survey000096 -0.6188889  1.8177778  96.73  280.95  669.90 1
 1.6966468  1.5228564  19.83  99.53  265.05  588.04 0.070616 Survey000097  1.6966667  1.5222222  98.28  263.93  581.96 1
 1.9555258 -1.4630458  21.07 102.35  262.65  552.67 0.254533 Survey000098  1.9555556 -1.4633333  98.51  260.13  552.57 1
 0.2040094  0.5341646  19.48  96.23  251.74  544.55 0.230353 Survey000099  0.2033333  0.5344444  98.61  252.64  530.22 1
 0.9868592  0.7787924  21.88 107.53  279.57  599.55 0.244218 Survey000100  0.9866667  0.7788889 100.61  274.29  598.32 1
 0.3622421  1.8843430  18.28 110.85  326.84  782.19 0.038004 Survey000101  0.3622222  1.8844444 105.19  321.53  778.29 1
-0.5278603  0.8958076  22.14 108.57  281.66  602.10 0.264080 Survey000102 -0.5277778  0.8955556 106.13  278.82  603.26 1
 0.9404374  1.2243228  17.48  99.50  270.17  564.89 0.026967 Survey000103  0.9400000  1.2244444 108.82  273.63  555.41 1
 0.9384441  1.2263197   1.97   3.42    2.97    1.28 4.909098 Survey000103  0.9400000  1.2244444 108.82  273.63  555.41 0
 1.8896413 -0.5427641  19.84 116.04  328.19  739.64 0.056713 Survey000104  1.8888889 -0.5433333 109.32  317.58  712.46 1
 0.9530870 -1.9117115  25.38 120.69  302.65  617.48 0.210914 Survey000105  0.9533333 -1.9122222 114.32  295.03  605.01 1
-0.9576414  2.0595748  23.10 115.06  303.71  664.96 0.230236 Survey000106 -0.9577778  2.0588889 119.13  302.44  655.46 1
