target sourceid ra_alma dec_alma pbcorr mu870 e_mu870 raw870 e_raw870 reff e_reff q e_q f870 e_f870 remu e_remu
XMM102 Source4  2:19:42.956   -05:24:32.65     1.00    1.00 0.00 0.94 0.18 0.459 0.246 0.58 0.15       0.94  0.18   1.00  0.00
XMM108 Source0  2:19:18.423   -03:10:51.32     1.00    8.49 1.13 29.16 0.58 0.074 0.007 0.32 0.02     29.19  0.58   8.49  1.13
XMM109 Source0  2:29:44.747   -03:41:09.59     0.99   27.15 4.61 19.62 0.27 0.019 0.003 0.20 0.00     19.75  0.27  27.15  4.61
XMM110 Source0  2:18:41.523   -03:50:04.75     0.93    1.00 0.00 6.31 0.34 0.141 0.011 0.80 0.12       6.78  0.37   1.00  0.00
XMM110 Source1  2:18:41.700   -03:50:02.61     0.95    1.00 0.00 3.81 0.25 0.070 0.018 0.59 0.22       4.00  0.26   1.00  0.00
XMM115 Source0  2:20:21.782   -01:53:30.08     0.94    3.72 0.42 17.61 0.49 0.224 0.006 0.58 0.03     18.80  0.52   2.36  0.68
XMM119 Source0  2:20:29.195   -06:48:48.04     0.96    2.25 0.17 8.47 0.30 0.107 0.008 0.36 0.04       8.87  0.31   1.62  0.31
XMM119 Source1  2:20:29.081   -06:48:44.89     0.98    1.48 0.03 5.98 0.18 0.023 0.009 0.63 0.21       6.07  0.18   1.24  0.12
XMM124 Source0  2:22:05.370   -07:07:28.16     0.94    1.00 0.00 2.75 0.14 0.020 0.008 0.68 0.20       2.93  0.15   1.00  0.00
XMM16 Source0   2:21:35.136   -06:26:17.28     0.99    2.00 0.01 13.63 0.55 0.094 0.009 0.33 0.05     13.83  0.56   1.50  0.25
XMM16 Source1   2:21:35.124   -06:26:16.62     0.98    2.00 0.01 3.36 0.76 0.204 0.029 0.39 0.10       3.42  0.77   1.50  0.25
XMM16 Source2   2:21:35.132   -06:26:18.02     0.98    2.00 0.01 10.90 1.29 0.441 0.029 0.35 0.05     11.17  1.32   1.50  0.25
